ID,Title,Alt Title,Special Mode Title,Locations,Comments
0,None,0,0,0,0
1,None,0,0,,Son vide
2,Prelude - Rebirth,0,0,Écran titre d'A Realm Reborn,
3,Dreams Aloft,0,0,Cinématiques de Cid,Musique du launcher utilisée lors de la 1.0
4,Prelude - Discoveries,0,0,Choix et Création de personnage,
5,Behind Closed Doors,0,0,Thème des auberges,
6,Wailers and Waterwheels,0,0,Gridania (jour),
7,Dance of the Fireflies,0,0,Gridania (nuit),
8,Serenity,0,0,Forêt centrale/du nord,
9,Serenity,0,0,Lieux de repos de la Forêt de Sombrelinceul,
10,Serenity,0,0,Forêt de Sombrelinceul,
11,Serenity,0,0,Forêt du sud,
12,Serenity,0,0,Sanctuaire des Douze,
13,The Land Bends,0,0,Combat dans la Forêt de Sombrelinceul,
14,Tenacity,0,0,Mandats,
15,Slumber Disturbed,0,0,L'Hypogée de Tam-Tara,
16,The Promise of Plunder,0,0,Premiers donjons d'ARR,
17,The Dark's Embrace,0,The Dark's Kiss,Donjons ARR brutaux,
18,Victory!,0,0,Fin de la plupart des instances,
19,0,0,0,,
20,Victory!,0,0,Fin de la plupart des instances,Version sans voix de 21
21,Victory!,0,0,Fin de la plupart des instances,
22,???,0,0,Front,Musique lors de l'ouverture du portail
23,The Hero of Hatchingtide,0,0,,Version chiptune de 21 (Victory!)
24,Greenwrath,0,0,Forêt de l'est,
25,I Am the Sea,0,0,Limsa Lominsa (jour),
26,A Sailor Never Sleeps,0,0,Limsa Lominsa,
27,On Westerly Winds,0,0,Noscea Centrale/Basse-Noscea,
28,On Westerly Winds,0,0,Noscea,
29,On Westerly Winds,0,0,Noscea orientale,
30,On Westerly Winds,0,0,Noscea orientale,
31,On Westerly Winds,0,0,Lieux de repos de Noscea,
32,Currents,0,0,Noscea,
33,The Land Breathes,0,0,Combat en Noscea,
34,0,0,0,,
35,From the Depths,0,0,Sastasha,
36,Torn from the Heavens,0,0,Plusieurs endroits,
37,A Fine Death,0,0,Boss de donjons ARR,
38,Nemesis,0,0,Boss de fin de donjons ARR,
39,Pennons Aloft,0,0,Batailles de quêtes,
40,Brothers in Arms,0,0,Opérations de guilde,
41,The Maiden's Lament,0,0,Le Manoir des Haukke,
42,A Thousand Screams,0,0,Les Mille Gueules de Toto-Rak,
43,Lipflaps on Longstops,0,0,Le Bivouac de Brayflox,
44,A New Hope,0,0,Ul'dah (jour),
45,Sultana Dreaming,0,0,Ul'dah (nuit),
46,To the Sun,0,0,Thanalan occidental/central,
47,To the Sun,0,0,Thanalan,
48,To the Sun,0,0,Thanalan méridional,
49,To the Sun,0,0,Lieux de repos du Thanalan,
50,To the Sun,0,0,Thanalan,
51,Fleeting Rays,0,0,Thanalan oriental,
52,The Land Burns,0,0,Combat en Thanalan,
53,Below,0,0,Les Mines de Clochecuivre,
54,The Ludus,0,0,Halatali,
55,The Gift of Life,0,0,Lieux de repos d'ARR,
56,Calling,0,0,,
57,Discordance,0,0,Thanalan septentrional,
58,Beyond the Unknown,0,0,Cinématique (Edda),Très court
59,Slither,0,0,Extérieur des camps du Thanalan septentrional,Très court et ressemble à Discordance
60,Intertwined,0,0,Mor Dhona,
61,Bo-down,0,0,Chocobo de relais,
62,Eorzea de Chocobo,Born to Ride,0,Montures Chocobo,
63,Into the Adder's Den,0,0,Quartier général des Deux Vipères,
64,Maelstrom Command,0,0,Quartier général du Maelstrom,
65,The Hall of Flames,0,0,Quartier général des Immortels,
66,The Waking Sands,0,0,Thanalan occidental,
67,When a Tree Falls,0,0,Mandats,
68,The Tug of Fate,0,0,Certains ALÉAs,
69,To the Fore,0,0,Certains ALÉAs/Boss,
70,Whisper of the Land,0,0,Cinématiques (1.0),
71,On Windy Meadows,0,0,Cinématiques (1.0),
72,Twilight Over Thanalan,0,0,Cinématiques (1.0),
73,Dewdrops & Moonbeams,0,0,Chaire du Lotus (Kan-E-Senna),
74,The Sands' Secrets,0,0,Alliance Éorzéenne (Raubahn),
75,Ripples in the Sea,0,0,Alliance Éorzéenne (Merlwyb),
76,Imperial Will,0,0,Cinématiques (Empire),
77,Defender of the Realm,0,0,Cinématiques (Héroiques),
78,Fracture,0,0,Cinématiques (Suspense),
79,One Blood,0,0,Cinématiques (Tension),
80,Conundrum,0,0,Cinématiques (Mystère/Hildibrand),
81,Prelude - Rebirth,0,0,Cinématiques,Remix avec une harpe légèrement différente
82,Return of the Hero,0,0,Cinématiques (Résolution),
83,Kiss of Chaos,0,0,Cinématiques (Tension),
84,Forever Lost,0,0,Cinématiques (Tristes),
85,Machinations,0,0,Antre des loups / Lieux de repos du Thanalan septentrional,
86,The Only Path,0,0,Cinématiques (Positives),
87,Daring Dalliances,0,0,Cinématiques (Positives),
88,Bliss,0,0,Cinématiques (Comédie),
89,A World Apart,0,0,Cinématiques (Héroique),
90,Relics,0,0,Cinématiques (princip. Quêtes de job),
91,Breaking Boundaries,0,0,Batailles de quêtes de job,
92,The Echo,0,0,Cinématiques,
93,Tranquility,0,0,Cinématiques (Résolution),
94,Without Shadow,0,0,Cinématiques (Asciens),
95,The Seventh Sun / Dawn of a New Era,0,0,Cinématiques,"Ouvre avec The Seventh Sun, puis passe à Dawn of a New Era"
96,Sacred Bonds,0,0,Cinématiques (Tristes),
97,Canticle,0,0,Cinématiques (Exposition),
98,Where the Heart Is,0,0,Cinématiques (Résolution),Musique de la 1.0
99,Dreams Aloft,0,0,Cinématiques (Résolution),
100,Supply & Demand,0,0,Cinématiques (Comédie),Musique de la 1.0
101,By Design,0,0,Cinématiques (Comédie),Musique de la 1.0
102,Decisions,0,0,"Cinématiques (Mystère), Fête des demoiselles",Musique de la 1.0
103,Agent of Inquiry,0,0,Thème d'Hildibrand,
104,0,0,0,,
105,Nature's Bounty,0,0,"Cinématiques, Lien éternel",Musique de la 1.0
106,Falling Shards,0,0,"Divers, Lien éternel",Version de Prelude uniquement jouée à la harpe
107,Pennons Aloft,0,0,"Batailles de quêtes, combat contre Fenrir",Musique de la 1.0
108,Battle Theme 1.x,0,0,ALÉAs Hildibrand/Salle des Novices/Rangs B,
109,0,0,0,,
110,Salt Swept,0,0,Port-aux-Ales/Chantier naval de Moraby,
111,???,0,0,,"Nécessite un lieu et un nom, ancienne version inutilisée de A Reason To Live"
112,My Soul to Keep,0,0,Le Manoir des Haukke/L'Hypogée de Tam-Tara (brutal),
113,From Fear to Fortitude,0,0,Batailles de quêtes,
114,Damnation,0,0,L'Hypogée de Tam-Tara,
115,Hard to Miss,0,0,ALÉAs défis,
116,A Fell Air Falleth,0,0,Donjons ultérieurs d'ARR,
117,Skullduggery,0,0,Batailles de quêtes/Le Temple enseveli de Qarn (brutal),
118,Another Round,0,0,Bars et tavernes,
119,Ruby Sunrise,0,0,Costa del Sol,
120,Primal Judgement,0,0,Le Cratère des tisons,
121,The Rider's Boon,0,0,Montures d'ARR,
122,Cracks in the Wall,0,0,Le Château d'Amdapor,
123,A Tonberry's Tears,0,0,Le Palais du Vagabond,
124,Echoes of Ages Past,0,0,Le Temple enseveli de Qarn,
125,Abomination,0,0,Le Gouffre hurlant,
126,Cold Salvation,0,0,Le Vigile de Pierre,
127,The Darkhold,0,0,La Forteresse de Dzemael,
128,Miser's Folly,0,0,Le Val d'Aurum,
129,Engage,0,0,L'Entreprise,
130,Fever Dream,0,0,Cinématiques (Tension),Extrait d'une musique plus longue de la version 1.0
131,Serving the Light,0,0,Guerrier de la Lumière,
132,Answers,0,0,Crédits d'ARR,
133,Opening Theme,0,0,Crédits spéciaux d'ARR/joueurs de la 1.0 ,Fin de la version 1.0
134,A Curious Breed of Botherment,0,0,Forêt de l'est (Sylphes),
135,Flightless Wings,0,0,Forêt du nord (Ixali),
136,"Quick as Silver, Hard as Stone",0,0,Noscea extérieure (Kobolds),
137,Battle Drums,0,0,Noscea occidentale (Sahuagins),Musique de la 1.0
138,Pitfire,0,0,Thanalan méridional (Amal'jaa),Musique de la 1.0
139,0,0,0,,
140,0,0,0,,
141,Fealty,0,0,Hautes terres du Coerthas central,
142,The Dragon's Dirge,0,0,Hautes terres du Coerthas central (L'Arête Blanche),
143,Undying Faith,0,0,Hautes terres du Coerthas central (Observatoire),
144,The Land Breaks,0,0,Combat dans les Hautes terres du Coerthas central,
145,The Land Bleeds,0,0,Combat au Mor Dhona,
146,Primal Timbre,0,Spiral,Le Labyrinthe de Bahamut,
147,Calamity Unbound,0,0,Boss du Labyrinthe de Bahamut,
